Ano,Mês,Dia
2019,5,843
2019,5,655
2019,5,684
2019,5,873
2019,5,699
2019,5,818
2019,5,771
2019,5,775
2019,5,963
2019,5,876
2019,5,937
2019,5,708
2019,5,725
2019,5,954
2019,5,905
2019,5,919
2019,5,757
2019,6,725
2019,6,931
2019,6,939
2019,6,868
2019,6,715
2019,6,746
2019,6,944
2019,6,901
2019,6,832
2019,6,579
2019,6,746
2019,6,915
2019,6,803
2019,6,0
2019,6,468
2019,6,664
2019,6,678
2019,6,653
2019,6,593
2019,6,461
2019,7,368
2019,7,466
2019,7,402
2019,7,297
2019,7,0
2019,7,139
2019,7,153
2019,7,153
2019,7,130
2019,7,113
2019,7,118
2019,7,149
2019,7,140
2019,7,133
2019,7,94
2019,7,118
2019,7,125
2019,7,127
2019,7,120
2019,7,130
2019,7,135
2019,7,129
2019,7,135
2019,8,150
2019,8,133
2019,8,801
2019,8,912
2019,8,927
2019,8,948
2019,8,661
2019,8,834
2019,8,1006
2019,8,975
2019,8,913
2019,8,750
2019,8,863
2019,8,1022
2019,8,991
2019,8,969
2019,8,773
2019,8,824
2019,8,957
2019,8,989
2019,8,931
2019,8,679
2019,8,0
2019,9,839
2019,9,958
2019,9,918
2019,9,938
2019,9,724
2019,9,824
2019,9,963
2019,9,962
2019,9,952
2019,9,781
2019,9,867
2019,9,991
2019,9,927
2019,9,956
2019,9,752
2019,9,817
2019,9,970
2019,9,966
2019,9,845
2019,9,717
2019,9,814
2019,10,910
2019,10,919
2019,10,839
2019,10,684
2019,10,774
2019,10,924
2019,10,849
2019,10,812
2019,10,698
2019,10,0
2019,10,821
2019,10,907
2019,10,842
2019,10,678
2019,10,775
2019,10,908
2019,10,908
2019,10,803
2019,10,589
2019,10,836
2019,10,866
2019,10,782
2019,11,640
2019,11,798
2019,11,915
2019,11,852
2019,11,809
2019,11,677
2019,11,743
2019,11,865
2019,11,871
2019,11,717
2019,11,745
2019,11,873
2019,11,819
2019,11,834
2019,11,656
2019,11,735
2019,11,823
2019,11,806
2019,11,776
2019,11,599
2019,12,645
2019,12,702
2019,12,664
2019,12,629
2019,12,487
2019,12,378
2019,12,410
2019,12,393
2019,12,333
2019,12,238
2019,12,130
2019,12,134
2019,12,150
2019,12,120
2019,12,106
2019,12,0
2019,12,0
2019,12,0
2019,12,0
2019,12,0
2019,12,0
2019,12,0
2020,1,82
2020,1,91
2020,1,132
2020,1,114
2020,1,80
2020,1,94
2020,1,118
2020,1,138
2020,1,122
2020,1,94
2020,1,115
2020,1,171
2020,1,160
2020,1,147
2020,1,153
2020,1,102
2020,1,138
2020,1,155
2020,1,142
2020,1,131
2020,2,219
2020,2,261
2020,2,223
2020,2,210
2020,2,136
2020,2,129
2020,2,143
2020,2,173
2020,2,149
2020,2,184
2020,2,723
2020,2,961
2020,2,912
2020,2,779
2020,2,487
2020,2,0
2020,2,0
2020,2,0
2020,2,689
2020,2,657
2020,3,847
2020,3,1033
2020,3,830
2020,3,944
2020,3,823
2020,3,843
2020,3,1001
2020,3,1002
2020,3,953
2020,3,795
2020,3,646
2020,3,104
2020,3,31
2020,3,0
2020,3,12
2020,3,9
2020,3,10
2020,3,0
2020,3,11
2020,3,15
2020,3,13
2020,3,14
